"field_code","label","data_type","pillar","category","polarity","unit","definition","definition_source"
"TR.ENERGYCONSUMPTIONINTERNATIONALASSURANCESTANDARD","Energy Consumption Assurance Standard","Text/Categorical","Environmental","Resource Use","Positive","Text (standard name)","The international assurance standard applied to external verification of the company's energy consumption data (e.g. ISAE 3000, ISO 14064-3, AA1000AS).","[M22] scored data point, Resource Use category"
"TR.WATERWITHDRAWALTOTAL","Total Water Withdrawal","Numeric","Environmental","Resource Use","Negative","Megalitres (ML)","Total volume of water withdrawn from all sources including surface water, groundwater, seawater, and third-party water (municipal supply). Proxy variable for the Resource Use category materiality matrix (Water theme). Listed as TR.AnalyticWaterUse.","[GRI 303-3]; [M22] materiality matrix — 'Water' theme proxy (TR.AnalyticWaterUse)"
"TR.FRESHWATERWITHDRAWALTOTAL","Fresh Water Withdrawal","Numeric","Environmental","Resource Use","Negative","Megalitres (ML)","Total volume of freshwater withdrawn from surface or groundwater sources.","[GRI 303-3]; [M22]"
"TR.WATERRECYCLED","Water Recycled and Reused","Numeric","Environmental","Resource Use","Positive","Megalitres (ML)","Total volume of water recycled or reused within company operations.","[GRI 303-3]; [M22]"
"TR.FACILITIESWATERWITHDRAWAL","Facilities Reporting Water Withdrawal","Numeric","Environmental","Resource Use","Positive","Number of facilities","Number or percentage of company facilities for which water withdrawal data is collected and reported.","[GRI 303-3]; [M22]"
"TR.TOTALWATERUSAGEPROPERTIES","Total Water Usage from Properties","Numeric","Environmental","Resource Use","Negative","Megalitres (ML) or m³","Total water consumed across the company's owned and leased property portfolio. Relevant for real estate companies and large building occupiers.","[GRI 303-3]; [M22]"
"TR.WATERWITHDRAWALINSTRESSEDREGIONS","Water Withdrawal in Water-Stressed Regions","Numeric","Environmental","Resource Use","Negative","Megalitres (ML)","Volume of water withdrawn from facilities in areas classified as water-stressed or water-scarce (e.g. per WRI Aqueduct).","[GRI 303-3]; [M22] scored data point, Resource Use category"
"TR.WATERSTRESSEDSITES","Operational Sites in Water-Stressed Areas","Numeric","Environmental","Resource Use","Negative","Number or %","Number or percentage of company operational sites located in water-stressed or water-scarce regions.","[GRI 303-3]; [M22] scored data point, Resource Use category"
"TR.POLICYWATEREFFICIENCY","Water Efficiency Policy","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a formal policy on water management and efficiency, including commitments to reduce water withdrawal and manage water-related risks? Proxy variable for the Resource Use category materiality matrix (Water theme). Listed as TR.PolicyWaterEfficiency in the materiality matrix.","[M22] materiality matrix — 'Water' theme proxy (TR.PolicyWaterEfficiency); scored data point, Resource Use category"
"TR.TARGETSWATEREFFICIENCY","Water Efficiency Targets","Boolean","Environmental","Resource Use","Positive","Yes/No","Has the company set specific, time-bound quantitative targets for reducing water consumption or improving water use efficiency? Listed as TR.TargetsWaterEfficiency in the LSEG Appendix A scoring example.","[M19] Appendix A — listed as scored data point in Emissions category example; [M22]"
"TR.WATERUSETARGET","Water Use Reduction Target","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a defined target to reduce absolute water use or water use intensity, with a specified baseline and target year?","[M22] scored data point, Resource Use category"
"TR.WATERSTRESSEDTARGETS","Targets for Water Use in Stressed Regions","Boolean","Environmental","Resource Use","Positive","Yes/No","Has the company set specific targets or commitments to manage and reduce water use in water-stressed locations?","[M22] scored data point, Resource Use category"
"TR.WATERINCIDENTS","Water-Related Incidents","Numeric","Environmental","Resource Use","Negative","Number","Number of significant incidents related to water (spills, breaches of water quality standards, or regulatory violations) during the reporting period.","[GRI 306]; [M22] scored data point, Resource Use category"
"TR.WATERMANAGEMENTPLANDETAILS","Water Management Plan","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a site-level or company-wide water management plan detailing procedures for managing water use, quality, and related risks?","[M22] scored data point, Resource Use category"
"TR.POLICYSUSTAINABLEPACKAGING","Sustainable Packaging Policy","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a formal policy to reduce the environmental impact of its product packaging, including commitments on recycled content or recyclability?","[M22] scored data point, Resource Use category"
"TR.POLICYENVSUPPLYCHAIN","Environmental Supply Chain Policy","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a policy requiring or encouraging suppliers to meet specific environmental standards? Noted in the LSEG materiality matrix as the 'Environmental supply chain' theme under Resource Use.","[M22] materiality matrix — 'Environmental supply chain' theme; scored data point, Resource Use category"
"TR.SUPPLIERENVIRONMENTALCOMMITMENT","Supplier Environmental Commitment","Boolean","Environmental","Resource Use","Positive","Yes/No","Have the company's key suppliers made formal commitments to environmental standards (e.g. signed a supplier code of conduct or set their own environmental targets)?","[M22] scored data point, Resource Use category"
"TR.SUPPLIERENVIRONMENTALDUEDILIGENCE","Supplier Environmental Due Diligence","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company conduct due diligence to identify, assess, and manage environmental risks in its supply chain beyond mere policy adoption?","[M22] scored data point, Resource Use category"
"TR.SUPPLIERENVIRONMENTALPOLICYCOMMUNICATION","Supplier Environmental Policy Communication","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company formally communicate its environmental requirements and expectations to suppliers (e.g. through procurement terms or supplier guidelines)?","[M22] scored data point, Resource Use category"
"TR.SUPPLIERENVIRONMENTALPOLICYTRAINING","Supplier Environmental Policy Training","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company provide training or capacity-building support to suppliers on environmental management and compliance?","[M22] scored data point, Resource Use category"
"TR.SUPPLIERENVIRONMENTALRISKASSESSMENT","Supplier Environmental Risk Assessment","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company systematically assess environmental risks in its supply chain (e.g. through supplier audits or screening)?","[M22] scored data point, Resource Use category"
"TR.TARGETSUSTAINABLEPALMOILSUPPLYCHAIN","Sustainable Palm Oil Supply Chain Target","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a specific commitment or target to source 100% certified sustainable palm oil (RSPO or equivalent)?","[M22] scored data point, Resource Use category"
"TR.ENVSUPPLYCHAINMGT","Environmental Supply Chain Management","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have systematic processes for managing environmental performance across its supply chain, including supplier selection and monitoring?","[M22] scored data point, Resource Use category"
"TR.ENVSUPPLYCHAINMONITORING","Environmental Supply Chain Monitoring","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company monitor suppliers' environmental performance through audits, on-site visits, certifications, or data collection?","[M22] scored data point, Resource Use category"
"TR.ENVSUPPLYCHAINTERMINATION","Environmental Supply Chain Termination Policy","Boolean","Environmental","Resource Use","Negative","Yes/No","Does the company have a policy to terminate supplier relationships that fail to meet its environmental standards after remediation attempts?","[M22] scored data point, Resource Use category"
"TR.ENVMGTTEAM","Environmental Management Team","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a dedicated team, department, or personnel responsible for managing its environmental performance and implementing environmental programmes?","[M22] scored data point, Resource Use category"
"TR.ENVMGTTRAINING","Environmental Management Training","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company provide environmental training to employees involved in environmental management, compliance, or sustainability roles?","[M22] scored data point, Resource Use category"
"TR.ENVMATERIALSSOURCING","Sustainable Materials Sourcing","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have a policy or programme for sourcing raw materials and inputs in an environmentally sustainable manner? Related to the 'Sustainable packaging' theme in the LSEG materiality matrix.","[M22] scored data point, Resource Use category"
"TR.TOXICCHEMICALSREDUCTION","Toxic Chemicals Reduction","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have programmes to reduce or eliminate the use of hazardous or toxic chemicals in its products or manufacturing processes?","[M22] scored data point, Resource Use category"
"TR.LANDENVIMPACTREDUCTION","Land Environmental Impact Reduction","Boolean","Environmental","Resource Use","Positive","Yes/No","Does the company have initiatives to reduce the environmental impact of its land use, including land restoration or minimising habitat loss from new developments?","[M22] scored data point, Resource Use category"
"TR.NUMBEROFEMPLOYEES","Total Number of Employees","Numeric","Social","Workforce","Positive","Headcount (FTE)","Total headcount or full-time equivalent (FTE) employees employed by the company at the end of the reporting period.","[GRI 2-7]; [M22]"
"TR.TEMPORARYSTAFFPROPORTION","Proportion of Temporary Staff","Numeric","Social","Workforce","Negative","%","Percentage of the workforce employed on temporary or fixed-term contracts.","[GRI 2-7]; [M22]"
"TR.WOMENEMPLOYEES","Percentage of Women Employees","Numeric","Social","Workforce","Positive","%","Percentage of total workforce identifying as women. Proxy variable for the Workforce category materiality matrix (Diversity and Inclusion theme). Listed as TR.WomenEmployees.","[GRI 405-1]; [M22] materiality matrix — 'Diversity and inclusion' theme proxy (TR.WomenEmployees)"
"TR.NEWWOMENEMPLOYEES","Percentage of New Hires who are Women","Numeric","Social","Workforce","Positive","%","Percentage of new employees hired during the reporting period who identify as women.","[GRI 405-1]; [M22]"
"TR.WOMENMANAGERS","Percentage of Women in Management","Numeric","Social","Workforce","Positive","%","Percentage of managerial or senior-level positions held by women.","[GRI 405-1]; [M22]"
"TR.EMPLOYEESWITHDISABILITIES","Employees with Disabilities","Numeric","Social","Workforce","Positive","% or headcount","Percentage or number of employees with a declared disability.","[GRI 405-1]; [M22]"
"TR.USLGBTEQUALITYINDEX","US LGBT Equality Index","Boolean","Social","Workforce","Positive","Yes/No","Is the company included in the Human Rights Campaign (HRC) Corporate Equality Index, which rates US employers on policies and practices supporting LGBTQ+ employees? US-specific.","[M22] scored data point, Workforce category"
"TR.BBBEELEVEL","B-BBEE Level","Numeric","Social","Workforce","Positive","Level 1–8 (1=best)","Broad-Based Black Economic Empowerment (B-BBEE) score or level achieved by the company under South Africa's transformation framework. Ranges from Level 1 (best) to Level 8. South Africa-specific.","[M22] scored data point, Workforce category"
"TR.POLICYDIVERSITYOPPORTUNITY","Diversity and Equal Opportunity Policy","Boolean","Social","Workforce","Positive","Yes/No","Does the company have a formal, publicly disclosed policy on workforce diversity, inclusion, and equal employment opportunity?","[GRI 405]; [M22] scored data point, Workforce category"
"TR.TARGETSDIVERSITYOPPORTUNITY","Diversity and Equal Opportunity Targets","Boolean","Social","Workforce","Positive","Yes/No","Has the company set specific, measurable targets for improving diversity in its workforce?","[GRI 405]; [M22] scored data point, Workforce category"
"TR.EMPLOYEERESOURCEGROUPS","Employee Resource Groups","Boolean","Social","Workforce","Positive","Yes/No","Does the company have formal employee resource groups (ERGs) or affinity groups supporting underrepresented employee communities?","[M22] scored data point, Workforce category"
"TR.FLEXIBLEWORKINGHOURS","Flexible Working Arrangements","Boolean","Social","Workforce","Positive","Yes/No","Does the company offer flexible working hours, remote working, or other flexible work arrangements?","[M22] scored data point, Workforce category"
"TR.AVGTRAININGHOURS","Average Training Hours per Employee","Numeric","Social","Workforce","Positive","Hours","Average number of training and development hours received per full-time employee during the reporting period. Proxy variable for the Workforce category materiality matrix (Career development and training theme). Listed as TR.AvgTrainingHours.","[GRI 404-1]; [M22] materiality matrix — 'Career development and training' theme proxy (TR.AvgTrainingHours)"
"TR.TRAININGHOURSTOTAL","Total Training Hours","Numeric","Social","Workforce","Positive","Hours","Total training and development hours delivered to all employees during the reporting period.","[GRI 404-1]; [M22]"
"TR.TRAININGCOSTSTOTAL","Total Training Expenditure","Numeric","Social","Workforce","Positive","Local currency","Total expenditure on employee training and development.","[GRI 404-1]; [M22]"
"TR.POLICYSKILLSTRAINING","Skills and Training Policy","Boolean","Social","Workforce","Positive","Yes/No","Does the company have a formal policy on employee skills development, vocational training, and continuous learning?","[GRI 404]; [M22] scored data point, Workforce category"
"TR.POLICYCAREERDEVELOPMENT","Career Development Policy","Boolean","Social","Workforce","Positive","Yes/No","Does the company have a formal policy on employee career development, including performance management and succession planning?","[GRI 404]; [M22] scored data point, Workforce category"
"TR.INTERNALPROMOTION","Internal Promotion Rate","Numeric","Social","Workforce","Positive","%","Percentage of open positions filled by internal candidates (promotions or lateral transfers).","[M22] scored data point, Workforce category"
"TR.MGTTRAINING","Management Training","Boolean","Social","Workforce","Positive","Yes/No","Does the company provide specific leadership development or management training programmes for managers and senior employees?","[M22] scored data point, Workforce category"
"TR.SUPPLIERESGTRAINING","Supplier ESG Training","Boolean","Social","Workforce","Positive","Yes/No","Does the company provide ESG-related training or capacity building to its suppliers?","[M22] scored data point, Workforce category"
"TR.TRADEUNIONREP","Trade Union Representation","Numeric","Social","Workforce","Positive","%","Percentage of total workforce covered by collective bargaining agreements negotiated with recognised trade unions. Proxy variable for the Workforce category materiality matrix (Working conditions theme). Listed as TR.TradeUnionRep.","[GRI 402-1]; [M22] materiality matrix — 'Working conditions' theme proxy (TR.TradeUnionRep)"
"TR.TURNOVEREMPLOYEES","Employee Turnover Rate","Numeric","Social","Workforce","Negative","%","Total employee turnover rate (voluntary + involuntary), expressed as a percentage of the average workforce.","[GRI 401-1]; [M22]"
"TR.VOLUNTARYTURNOVEREMPLOYEES","Voluntary Employee Turnover Rate","Numeric","Social","Workforce","Negative","%","Percentage of employees who voluntarily resigned during the reporting period.","[GRI 401-1]; [M22]"
"TR.INVOLUNTARYTURNOVEREMPLOYEES","Involuntary Employee Turnover Rate","Numeric","Social","Workforce","Negative","%","Percentage of employees whose employment was terminated by the company during the reporting period.","[GRI 401-1]; [M22]"
"TR.AVERAGEEMPLOYEELENGTHSERVICE","Average Employee Length of Service","Numeric","Social","Workforce","Positive","Years","Average tenure of employees in years.","[M22] scored data point, Workforce category"
"TR.SALARIESCSRREPORTING","Salaries Reported in CSR/ESG Report","Boolean","Social","Workforce","Positive","Yes/No","Does the company disclose data on employee compensation levels (salaries, wages) in its CSR or sustainability report?","[M22] scored data point, Workforce category"
"TR.EMPLOYEESCSRREPORTING","Workforce Data Reported in CSR/ESG Report","Boolean","Social","Workforce","Positive","Yes/No","Does the company disclose comprehensive workforce data (headcount, diversity, turnover) in its CSR or sustainability report?","[M22] scored data point, Workforce category"
"TR.EMPLOYEESATISFACTION","Employee Satisfaction Survey","Boolean","Social","Workforce","Positive","Yes/No","Does the company conduct regular employee satisfaction or engagement surveys and disclose the results?","[M22] scored data point, Workforce category"
"TR.HIVAIDSPROGRAM","HIV/AIDS Programme","Boolean","Social","Workforce","Positive","Yes/No","Does the company have a programme addressing HIV/AIDS prevention, education, or support for affected employees? Particularly relevant in high-prevalence regions.","[M22] scored data point, Workforce category"
"TR.EMPLOYEEHEALTHSAFETYPOLICY","Employee Health and Safety Policy","Boolean","Social","Workforce","Positive","Yes/No","Does the company have a formal, publicly disclosed occupational health and safety policy covering all employees?","[GRI 403]; [M22] scored data point, Workforce category"
"TR.SUPPLYCHAINHSPOLICY","Supply Chain Health and Safety Policy","Boolean","Social","Workforce","Positive","Yes/No","Does the company extend health and safety requirements to its supply chain, requiring suppliers to meet minimum health and safety standards?","[GRI 403]; [M22] scored data point, Workforce category"
"TR.SUPPLYCHAINHSTRAINING","Supply Chain Health and Safety Training","Boolean","Social","Workforce","Positive","Yes/No","Does the company provide health and safety training or capacity building to workers in its supply chain?","[M22] scored data point, Workforce category"
"TR.SUPPLYCHAINHSIMPROVEMENTS","Supply Chain Health and Safety Improvements","Boolean","Social","Workforce","Positive","Yes/No","Has the company implemented measurable improvements in health and safety performance in its supply chain?","[M22] scored data point, Workforce category"
"TR.OHSAS18001","OHSAS 18001 / ISO 45001 Certification","Boolean","Social","Workforce","Positive","Yes/No","Is the company's occupational health and safety management system certified to OHSAS 18001 or its successor ISO 45001?","[GRI 403]; [M22] scored data point, Workforce category"
"TR.EMPLOYEESHEALTHSAFETYTEAM","Employees with Health and Safety Responsibilities","Numeric","Social","Workforce","Positive","Number or %","Number or percentage of employees with formal health and safety responsibilities.","[GRI 403]; [M22] scored data point, Workforce category"
"TR.HEALTHSAFETYTRAINING","Health and Safety Training","Boolean","Social","Workforce","Positive","Yes/No","Does the company provide health and safety training to employees?","[GRI 403]; [M22] scored data point, Workforce category"
"TR.EMPLOYEEHSTRAININGHOURS","Employee Health and Safety Training Hours","Numeric","Social","Workforce","Positive","Hours","Average or total hours of health and safety training received by employees during the reporting period.","[GRI 403]; [M22]"
"TR.RISKASSESSMENTHEALTHANDSAFETY","Health and Safety Risk Assessment","Boolean","Social","Workforce","Positive","Yes/No","Does the company conduct formal risk assessments to identify and evaluate occupational health and safety hazards in its workplaces?","[GRI 403]; [M22] scored data point, Workforce category"
"TR.SAFETYPERFORMANCEMONITORING","Safety Performance Monitoring","Boolean","Social","Workforce","Positive","Yes/No","Does the company systematically monitor and track its occupational health and safety performance using key metrics?","[GRI 403]; [M22] scored data point, Workforce category"
"TR.EMPLOYEESAFETYINITIATIVEPARTICIPATION","Employee Safety Initiative Participation","Boolean","Social","Workforce","Positive","Yes/No","Does the company have programmes enabling employee participation in occupational health and safety initiatives (e.g. safety committees, near-miss reporting)?","[GRI 403]; [M22] scored data point, Workforce category"
"TR.TIRTOTAL","Total Injury Rate – All Workers","Numeric","Social","Workforce","Negative","Per 200,000 or 1,000,000 hours worked","Total recordable injury rate for all workers (employees and contractors).","[GRI 403-9]; [M22]"
"TR.TIRCONTRACTORS","Total Injury Rate – Contractors","Numeric","Social","Workforce","Negative","Per 200,000 or 1,000,000 hours worked","Total recordable injury rate for contractor workers specifically.","[GRI 403-9]; [M22]"
"TR.TIREMPLOYEES","Total Injury Rate – Employees","Numeric","Social","Workforce","Negative","Per 200,000 or 1,000,000 hours worked","Total recordable injury rate for company employees (excluding contractors).","[GRI 403-9]; [M22]"
"TR.LTIRTOTAL","Lost Time Injury Rate – All Workers","Numeric","Social","Workforce","Negative","Per 200,000 or 1,000,000 hours worked","Lost time injury rate for all workers: work-related injuries resulting in time away from work.","[GRI 403-9]; [M22]"
"TR.LTIRCONTRACTORS","Lost Time Injury Rate – Contractors","Numeric","Social","Workforce","Negative","Per 200,000 or 1,000,000 hours worked","Lost time injury rate for contractor workers.","[GRI 403-9]; [M22]"
"TR.LTIREMPLOYEES","Lost Time Injury Rate – Employees","Numeric","Social","Workforce","Negative","Per 200,000 or 1,000,000 hours worked","Lost time injury rate for company employees (excluding contractors).","[GRI 403-9]; [M22]"
"TR.ACCIDENTSTOTAL","Total Work-Related Accidents","Numeric","Social","Workforce","Negative","Number","Total number of work-related accidents or injuries recorded during the reporting period for all workers.","[GRI 403-9]; [M22]"
"TR.CONTRACTORACCIDENTS","Contractor Work-Related Accidents","Numeric","Social","Workforce","Negative","Number","Number of work-related accidents recorded among contractor workers during the reporting period.","[GRI 403-9]; [M22]"
"TR.EMPLOYEEACCIDENTS","Employee Work-Related Accidents","Numeric","Social","Workforce","Negative","Number","Number of work-related accidents recorded among company employees during the reporting period.","[GRI 403-9]; [M22]"
"TR.OCCUPATIONALDISEASES","Occupational Diseases","Numeric","Social","Workforce","Negative","Number","Number of work-related ill health cases (occupational diseases) recorded among employees and contractors.","[GRI 403-10]; [M22]"
"TR.EMPLOYEEFATALITIES","Employee Work-Related Fatalities","Numeric","Social","Workforce","Negative","Number","Number of work-related fatalities among company employees during the reporting period.","[GRI 403-9]; [M22]"
"TR.CONTRACTORFATALITIES","Contractor Work-Related Fatalities","Numeric","Social","Workforce","Negative","Number","Number of work-related fatalities among contractor workers at company sites during the reporting period.","[GRI 403-9]; [M22]"
"TR.LOSTWORKINGDAYS","Lost Working Days – All Workers","Numeric","Social","Workforce","Negative","Days","Total number of working days lost due to work-related injuries and illnesses for all workers. Proxy variable for the Workforce category materiality matrix (Health and Safety theme). Listed as TR.AnalyticLostDays.","[GRI 403-9]; [M22] materiality matrix — 'Health and safety' theme proxy (TR.AnalyticLostDays)"
"TR.EMPLOYEELOSTWORKINGDAYS","Employee Lost Working Days","Numeric","Social","Workforce","Negative","Days","Total working days lost due to work-related injuries and illnesses among company employees.","[GRI 403-9]; [M22]"
"TR.CONTRACTORLOSTWORKINGDAYS","Contractor Lost Working Days","Numeric","Social","Workforce","Negative","Days","Total working days lost due to work-related injuries and illnesses among contractor workers.","[GRI 403-9]; [M22]"
"TR.POLICYHUMANRIGHTS","Human Rights Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a formal, publicly disclosed policy committing it to respect internationally recognised human rights as set out in the UN Universal Declaration of Human Rights and the ILO Core Conventions? Proxy variable for the Human Rights category materiality matrix.","[GRI 411]; [M22] materiality matrix — 'Human rights' theme proxy (TR.PolicyHumanRights)"
"TR.POLICYFORCEDLABOR","Policy Against Forced or Compulsory Labour","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a specific policy prohibiting forced, bonded, or compulsory labour in its own operations and supply chain?","[GRI 409]; [ILO] Convention 29; [M22]"
"TR.POLICYCHILDLABOR","Policy Against Child Labour","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a specific policy prohibiting child labour in its own operations and supply chain?","[GRI 408]; [ILO] Conventions 138 and 182; [M22]"
"TR.POLICYFREEDOMOFASSOCIATION","Freedom of Association Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy upholding workers' rights to freedom of association and collective bargaining?","[GRI 407]; [ILO] Conventions 87 and 98; [M22]"
"TR.POLICYCOLLECTIVEBARGAINING","Collective Bargaining Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company explicitly support the right of workers to engage in collective bargaining with employers through their chosen representatives?","[ILO] Convention 98; [M22]"
"TR.ILOFUNDAMENTALHUMANRIGHTS","ILO Fundamental Human Rights Principles","Boolean","Social","Human Rights","Positive","Yes/No","Has the company committed to uphold all four categories of ILO fundamental principles and rights at work: freedom of association, elimination of forced labour, abolition of child labour, and elimination of discrimination?","[ILO] Declaration on Fundamental Principles and Rights at Work; [M22]"
"TR.HUMANRIGHTSCONTRACTOR","Human Rights Standards Applied to Contractors","Boolean","Social","Human Rights","Positive","Yes/No","Does the company contractually require its contractors and suppliers to adhere to the same human rights standards it applies to its own operations?","[UNGP] Principle 13; [M22]"
"TR.ETI","Ethical Trade Initiative (ETI) Membership","Boolean","Social","Human Rights","Positive","Yes/No","Is the company a member of the Ethical Trading Initiative (ETI), a global alliance of companies, trade unions, and NGOs committed to improving working conditions in global supply chains?","[M22] scored data point, Human Rights category"
"TR.COMMITMENTONHUMANRIGHTS","Commitment on Human Rights","Boolean","Social","Human Rights","Positive","Yes/No","Has the company made a high-level public commitment to respect human rights, aligned with the UN Guiding Principles on Business and Human Rights (UNGPs) and the OECD Guidelines for Multinational Enterprises?","[UNGP]; [M22] scored data point, Human Rights category"
"TR.COMMITMENTTOUNGUIDINGPRINCIPLESOROECDGUIDELINES","Commitment to UN Guiding Principles or OECD Guidelines","Boolean","Social","Human Rights","Positive","Yes/No","Has the company explicitly committed to implementing the UN Guiding Principles on Business and Human Rights (Ruggie Framework) and/or the OECD Guidelines for Multinational Enterprises?","[UNGP] 2011; [M22] scored data point, Human Rights category"
"TR.HUMANRIGHTSIDENTIFICATION","Human Rights Impact Identification","Boolean","Social","Human Rights","Positive","Yes/No","Does the company systematically identify actual and potential human rights impacts in its own operations and supply chain?","[UNGP] Principle 18; [M22]"
"TR.IMPACTASSESSMENTHUMANRIGHTS","Human Rights Impact Assessment","Boolean","Social","Human Rights","Positive","Yes/No","Does the company conduct formal human rights impact assessments (HRIAs) to evaluate the severity and likelihood of human rights harms?","[UNGP] Principle 17; [M22]"
"TR.HUMANRIGHTSBOARDOVERSIGHT","Board Oversight of Human Rights","Boolean","Social","Human Rights","Positive","Yes/No","Does the company's board of directors or a board-level committee have formal oversight responsibility for human rights policy and performance?","[UNGP]; [M22]"
"TR.HUMANRIGHTSRESPONSIBILITY","Human Rights Management Responsibility","Boolean","Social","Human Rights","Positive","Yes/No","Is there a named senior executive or management function with explicit responsibility for the company's human rights performance and due diligence processes?","[UNGP]; [M22]"
"TR.HUMANRIGHTSSTAKEHOLDERENGAGEMENT","Human Rights Stakeholder Engagement","Boolean","Social","Human Rights","Positive","Yes/No","Does the company engage with affected stakeholders (workers, communities, civil society) as part of its human rights due diligence?","[UNGP] Principle 18; [M22]"
"TR.RISKASSESSMENTLABOURSTANDARDS","Labour Standards Risk Assessment","Boolean","Social","Human Rights","Positive","Yes/No","Does the company conduct risk assessments of labour standards across its operations and supply chain to identify areas of heightened risk?","[UNGP]; [M22] scored data point, Human Rights category"
"TR.MITIGATIONHUMANRIGHTSISSUES","Mitigation of Human Rights Issues","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have processes and measures to prevent or mitigate identified human rights risks and impacts?","[UNGP] Principle 19; [M22]"
"TR.REMEDYHUMANRIGHTSIMPACTS","Remedy for Human Rights Impacts","Boolean","Social","Human Rights","Positive","Yes/No","Does the company provide or contribute to remediation for human rights harms it has caused or contributed to, and has accessible grievance mechanisms?","[UNGP] Principles 22 and 29–31; [M22]"
"TR.EMBEDDINGHUMANRIGHTS","Embedding Human Rights in Business","Boolean","Social","Human Rights","Positive","Yes/No","Are human rights considerations integrated into the company's core business processes, including procurement, investment decisions, and operational standards?","[UNGP]; [M22]"
"TR.INTERNALHUMANRIGHTSTRAINING","Internal Human Rights Training","Boolean","Social","Human Rights","Positive","Yes/No","Does the company provide training on human rights to relevant employees, including procurement staff and operational managers in high-risk locations?","[UNGP]; [M22]"
"TR.GRIEVANCEMECHANISMSHUMANRIGHTS","Human Rights Grievance Mechanisms","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have accessible, legitimate, and effective grievance mechanisms enabling workers and affected communities to report human rights concerns?","[UNGP] Principle 29; [M22]"
"TR.COMMUNICATIONOFLABOURPOLICY","Communication of Labour Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company communicate its labour standards and human rights policies to employees and supply chain workers?","[M22] scored data point, Human Rights category"
"TR.EQUALPAYFOREQUALWORK","Equal Pay for Equal Work","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy or commitment to ensure equal pay for equal work across genders and other protected characteristics?","[GRI 405-2]; [M22]"
"TR.POLICYLIVINGWAGE","Living Wage Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy to pay employees a living wage — sufficient to cover the basic cost of living — as distinct from the statutory minimum wage?","[M22] scored data point, Human Rights category"
"TR.POLICYMINIMUMWAGE","Minimum Wage Compliance Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a formal policy ensuring full compliance with national and local statutory minimum wage requirements?","[M22] scored data point, Human Rights category"
"TR.POLICYWORKINGHOURS","Working Hours Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a formal policy on working hours, including compliance with legal limits and protection from excessive working hours?","[ILO] Conventions 1 and 30; [M22]"
"TR.POLICYFREEDOMOFEXPRESSION","Freedom of Expression Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy protecting employees' rights to freedom of expression, including whistleblower protections and anti-retaliation policies?","[M22] scored data point, Human Rights category"
"TR.POLICYINDIGENOUSRIGHTSCONSENT","Indigenous Peoples Free Prior and Informed Consent Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy requiring free, prior and informed consent (FPIC) from indigenous peoples before commencing projects that may affect their lands or resources?","[ILO] Convention 169; UNDRIP; [M22]"
"TR.POLICYINDIGENOUSRIGHTSCONSULTATION","Indigenous Peoples Consultation Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy to consult meaningfully with indigenous communities who may be affected by its business activities?","[ILO] Convention 169; [M22]"
"TR.POLICYSECURITYGUARDS","Security Guards Human Rights Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy governing the conduct of private security guards, including training on human rights and use of force?","[M22] scored data point, Human Rights category; Voluntary Principles on Security and Human Rights"
"TR.POLICYSITEDECOMMISSIONING","Site Decommissioning Policy","Boolean","Social","Human Rights","Positive","Yes/No","Does the company have a policy on the responsible decommissioning of operational sites, including community impact assessment and support for affected workers?","[M22] scored data point, Human Rights category"
